I, [2017-04-05T18:59:04.336539 #15873]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-04-05T18:59:04.336834 #15873] ERROR -- Kitchen: ------Exception-------
E, [2017-04-05T18:59:04.336871 #15873] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-04-05T18:59:04.336888 #15873] ERROR -- Kitchen: Message: Kitchen YAML file /home/vagrant/chef-workshop/cookbooks/.kitchen.yml does not exist.
E, [2017-04-05T18:59:04.336902 #15873] ERROR -- Kitchen: ----------------------
E, [2017-04-05T18:59:04.336924 #15873] ERROR -- Kitchen: ------Backtrace-------
E, [2017-04-05T18:59:04.336936 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-04-05T18:59:04.336947 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-04-05T18:59:04.336959 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-04-05T18:59:04.336976 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-04-05T18:59:04.336987 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-04-05T18:59:04.336999 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-04-05T18:59:04.337010 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-04-05T18:59:04.337021 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-04-05T18:59:04.337032 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-04-05T18:59:04.337043 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-04-05T18:59:04.337054 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-04-05T18:59:04.337065 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-04-05T18:59:04.337088 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-04-05T18:59:04.337100 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-04-05T18:59:04.337111 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-04-05T18:59:04.337122 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-04-05T18:59:04.337137 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-04-05T18:59:04.337149 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-04-05T18:59:04.337160 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-04-05T18:59:04.337171 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-04-05T18:59:04.337182 #15873] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-04-05T18:59:04.337193 #15873] ERROR -- Kitchen: /usr/bin/kitchen:21:in `load'
E, [2017-04-05T18:59:04.337203 #15873] ERROR -- Kitchen: /usr/bin/kitchen:21:in `<main>'
E, [2017-04-05T18:59:04.337221 #15873] ERROR -- Kitchen: ----End Backtrace-----
